OLID,type,location
OL80172A,{'key': '/type/author'},
OL80396A,{'key': '/type/author'},D-10117 Berlin Germany
OL6492928A,{'key': '/type/author'},"Arnhem, Bronbeek"
OL6607402A,{'key': '/type/author'},
OL980093A,{'key': '/type/author'},
OL990802A,{'key': '/type/author'},
OL6804873A,{'key': '/type/author'},
OL5993237A,{'key': '/type/author'},
OL6546102A,{'key': '/type/author'},"Washington, DC"
OL6632937A,{'key': '/type/author'},
OL674581A,{'key': '/type/author'},
OL849503A,{'key': '/type/author'},"England, UK"
OL6555693A,{'key': '/type/author'},
OL6767195A,{'key': '/type/author'},
OL6787852A,{'key': '/type/author'},
OL73193A,{'key': '/type/author'},
OL91522A,{'key': '/type/author'},"Paris, France"
OL6744377A,{'key': '/type/author'},
OL785143A,{'key': '/type/author'},Germany
OL563762A,{'key': '/type/author'},
OL618991A,{'key': '/type/author'},
OL71477A,{'key': '/type/author'},
OL983786A,{'key': '/type/author'},
OL610546A,{'key': '/type/author'},
OL76437A,{'key': '/type/author'},
OL666139A,{'key': '/type/author'},"England, U.K."
OL79039A,{'key': '/type/author'},
OL874506A,{'key': '/type/author'},
OL5828988A,{'key': '/type/author'},
OL736164A,{'key': '/type/author'},
OL6804126A,{'key': '/type/author'},
OL693561A,{'key': '/type/author'},
OL83579A,{'key': '/type/author'},
OL6310071A,{'key': '/type/author'},"Fukuoka, Japan"
OL6804862A,{'key': '/type/author'},
OL699162A,{'key': '/type/author'},alwar
OL6718897A,{'key': '/type/author'},
OL740723A,{'key': '/type/author'},
OL77056A,{'key': '/type/author'},
OL798548A,{'key': '/type/author'},
OL559601A,{'key': '/type/author'},
OL5830374A,{'key': '/type/author'},
OL6716143A,{'key': '/type/author'},
OL563911A,{'key': '/type/author'},Brazil
OL736249A,{'key': '/type/author'},
OL901092A,{'key': '/type/author'},
OL68224A,{'key': '/type/author'},
OL897417A,{'key': '/type/author'},
OL89989A,{'key': '/type/author'},
OL916626A,{'key': '/type/author'},
OL6125246A,{'key': '/type/author'},
OL928958A,{'key': '/type/author'},
OL6355425A,{'key': '/type/author'},
OL6461794A,{'key': '/type/author'},Nigeria
OL910232A,{'key': '/type/author'},
OL933874A,{'key': '/type/author'},
OL5822557A,{'key': '/type/author'},
OL6595631A,{'key': '/type/redirect'},/authors/OL3732753A
OL6804116A,{'key': '/type/author'},
OL866744A,{'key': '/type/author'},
OL640704A,{'key': '/type/author'},
OL54452A,{'key': '/type/author'},
OL607234A,{'key': '/type/author'},
OL6085163A,{'key': '/type/author'},
OL63681A,{'key': '/type/author'},
OL909874A,{'key': '/type/author'},
OL6598359A,{'key': '/type/author'},"Lampung, Indonesia"
OL6604109A,{'key': '/type/author'},
OL560261A,{'key': '/type/author'},
OL6342831A,{'key': '/type/author'},
OL723408A,{'key': '/type/author'},
OL8A,{'key': '/type/author'},
OL55300A,{'key': '/type/author'},
OL650705A,{'key': '/type/author'},
OL575777A,{'key': '/type/author'},
OL6265668A,{'key': '/type/author'},
OL610865A,{'key': '/type/author'},
OL6645093A,{'key': '/type/author'},"Victoria, BC"
OL79880A,{'key': '/type/author'},
OL53589A,{'key': '/type/author'},
OL5538897A,{'key': '/type/author'},
OL5986301A,{'key': '/type/author'},
OL6468602A,{'key': '/type/author'},
OL620859A,{'key': '/type/author'},google
OL6225957A,{'key': '/type/redirect'},/authors/OL814126A
OL6647924A,{'key': '/type/author'},
OL5791682A,{'key': '/type/author'},"Belgrade, Serbia"
OL587924A,{'key': '/type/author'},
OL572191A,{'key': '/type/author'},
OL5858139A,{'key': '/type/author'},
OL6556662A,{'key': '/type/author'},UK
OL6729430A,{'key': '/type/redirect'},/authors/OL53370A
OL673337A,{'key': '/type/author'},
OL777032A,{'key': '/type/author'},
OL95189A,{'key': '/type/author'},"Swakopmund, Namibia"
OL824133A,{'key': '/type/author'},
OL6787653A,{'key': '/type/author'},
OL5841040A,{'key': '/type/author'},City of Gorky (USSR)
OL61868A,{'key': '/type/author'},
OL755818A,{'key': '/type/author'},
OL78044A,{'key': '/type/author'},
OL5312866A,{'key': '/type/author'},
OL61862A,{'key': '/type/author'},
OL6837474A,{'key': '/type/author'},
OL6407436A,{'key': '/type/author'},
OL6603757A,{'key': '/type/author'},
OL59265A,{'key': '/type/author'},
OL7542A,{'key': '/type/author'},
OL559200A,{'key': '/type/author'},
OL6035408A,{'key': '/type/author'},
OL6805612A,{'key': '/type/author'},
OL891A,{'key': '/type/author'},
OL631430A,{'key': '/type/author'},"Fort Collins, CO"
OL693025A,{'key': '/type/author'},
OL6744914A,{'key': '/type/author'},
OL788637A,{'key': '/type/author'},
OL6413356A,{'key': '/type/author'},
OL6764043A,{'key': '/type/author'},
OL6770404A,{'key': '/type/author'},
OL5322435A,{'key': '/type/author'},
OL76311A,{'key': '/type/author'},
OL976308A,{'key': '/type/author'},
OL657567A,{'key': '/type/author'},
OL734858A,{'key': '/type/author'},
OL897344A,{'key': '/type/author'},"Lanreath, Cornwall, UK"
OL906693A,{'key': '/type/author'},
OL767343A,{'key': '/type/author'},"Paris, France"
OL851165A,{'key': '/type/author'},
OL89104A,{'key': '/type/author'},
OL9491A,{'key': '/type/author'},
OL6764044A,{'key': '/type/author'},
OL552392A,{'key': '/type/author'},
OL6604112A,{'key': '/type/author'},
OL96536A,{'key': '/type/author'},
OL5993238A,{'key': '/type/author'},
OL6349017A,{'key': '/type/author'},
OL699487A,{'key': '/type/author'},
OL85579A,{'key': '/type/author'},
OL9388A,{'key': '/type/author'},
OL6725661A,{'key': '/type/author'},Thailand
OL916454A,{'key': '/type/author'},"Glastonbury, Somerset, England"
OL5312549A,{'key': '/type/author'},
OL6411595A,{'key': '/type/author'},
OL6773499A,{'key': '/type/author'},
OL544334A,{'key': '/type/author'},"Bay Village, Ohio"
OL5434258A,{'key': '/type/author'},"Dublin, Ireland"
OL5862815A,{'key': '/type/author'},"Palomar Mountain, California"
OL715600A,{'key': '/type/author'},
OL843187A,{'key': '/type/author'},U.S.A.
OL531534A,{'key': '/type/author'},
OL652072A,{'key': '/type/author'},JAKARTA
OL813063A,{'key': '/type/author'},
OL8909A,{'key': '/type/author'},
OL622941A,{'key': '/type/author'},
OL747772A,{'key': '/type/author'},South Africa
OL6604111A,{'key': '/type/author'},
OL5378162A,{'key': '/type/author'},
OL6089313A,{'key': '/type/author'},
OL69521A,{'key': '/type/author'},
OL618474A,{'key': '/type/author'},
OL767133A,{'key': '/type/author'},"Los Angeles, CA"
OL6474981A,{'key': '/type/redirect'},/authors/OL4965572A
OL708391A,{'key': '/type/author'},"Tehran, Iran"
OL676188A,{'key': '/type/author'},
OL72455A,{'key': '/type/author'},
OL88812A,{'key': '/type/author'},
OL5445040A,{'key': '/type/author'},
OL713582A,{'key': '/type/author'},
OL6499961A,{'key': '/type/author'},"Belgrade, Serbia"
OL6744868A,{'key': '/type/author'},
OL6783960A,{'key': '/type/author'},
OL6639447A,{'key': '/type/author'},
OL9526A,{'key': '/type/author'},
OL5872381A,{'key': '/type/redirect'},/authors/OL443951A
OL813099A,{'key': '/type/author'},
OL5445936A,{'key': '/type/author'},
OL642383A,{'key': '/type/author'},
OL6502947A,{'key': '/type/author'},
OL89244A,{'key': '/type/author'},España
OL6556667A,{'key': '/type/redirect'},/authors/OL5328083A
OL735313A,{'key': '/type/author'},
OL6503774A,{'key': '/type/author'},
OL67085A,{'key': '/type/author'},
OL6783218A,{'key': '/type/author'},
OL774034A,{'key': '/type/author'},
OL898551A,{'key': '/type/author'},
OL6809325A,{'key': '/type/author'},"New York, NY"
OL802799A,{'key': '/type/author'},
OL643512A,{'key': '/type/author'},
OL5562614A,{'key': '/type/author'},
OL6004951A,{'key': '/type/author'},
OL6149255A,{'key': '/type/author'},"Québec, Canada"
OL6744965A,{'key': '/type/author'},
OL772034A,{'key': '/type/author'},"Meridian Township, IN"
OL812153A,{'key': '/type/author'},
OL6556250A,{'key': '/type/author'},
OL660097A,{'key': '/type/author'},
OL746963A,{'key': '/type/author'},
OL54952A,{'key': '/type/author'},
OL75391A,{'key': '/type/author'},
OL828569A,{'key': '/type/author'},
OL89386A,{'key': '/type/author'},
OL956671A,{'key': '/type/author'},
OL600007A,{'key': '/type/author'},U.S.A.
OL6604114A,{'key': '/type/author'},
OL682877A,{'key': '/type/author'},Mumbai India
OL96979A,{'key': '/type/author'},
OL6629507A,{'key': '/type/author'},
OL6808474A,{'key': '/type/author'},"Wilmington, Delaware"
OL709121A,{'key': '/type/author'},
OL80172A,{'key': '/type/author'},
OL80396A,{'key': '/type/author'},D-10117 Berlin Germany
OL6607402A,{'key': '/type/author'},
OL980093A,{'key': '/type/author'},
OL990802A,{'key': '/type/author'},
OL6804873A,{'key': '/type/author'},
OL6632937A,{'key': '/type/author'},
OL674581A,{'key': '/type/author'},
OL849503A,{'key': '/type/author'},"England, UK"
OL6767195A,{'key': '/type/author'},
OL6787852A,{'key': '/type/author'},
OL73193A,{'key': '/type/author'},
OL91522A,{'key': '/type/author'},"Paris, France"
OL6744377A,{'key': '/type/author'},
OL785143A,{'key': '/type/author'},Germany
OL71477A,{'key': '/type/author'},
OL983786A,{'key': '/type/author'},
OL76437A,{'key': '/type/author'},
OL666139A,{'key': '/type/author'},"England, U.K."
OL79039A,{'key': '/type/author'},
OL874506A,{'key': '/type/author'},
OL736164A,{'key': '/type/author'},
OL6804126A,{'key': '/type/author'},
OL693561A,{'key': '/type/author'},
OL83579A,{'key': '/type/author'},
OL6804862A,{'key': '/type/author'},
OL699162A,{'key': '/type/author'},alwar
OL6718897A,{'key': '/type/author'},
OL740723A,{'key': '/type/author'},
OL77056A,{'key': '/type/author'},
OL798548A,{'key': '/type/author'},
OL6716143A,{'key': '/type/author'},
OL736249A,{'key': '/type/author'},
OL901092A,{'key': '/type/author'},
OL68224A,{'key': '/type/author'},
OL897417A,{'key': '/type/author'},
OL89989A,{'key': '/type/author'},
OL916626A,{'key': '/type/author'},
OL928958A,{'key': '/type/author'},
OL910232A,{'key': '/type/author'},
OL933874A,{'key': '/type/author'},
OL6804116A,{'key': '/type/author'},
OL866744A,{'key': '/type/author'},
OL909874A,{'key': '/type/author'},
OL723408A,{'key': '/type/author'},
OL8A,{'key': '/type/author'},
OL6645093A,{'key': '/type/author'},"Victoria, BC"
OL79880A,{'key': '/type/author'},
OL6647924A,{'key': '/type/author'},
OL6729430A,{'key': '/type/redirect'},/authors/OL53370A
OL673337A,{'key': '/type/author'},
OL777032A,{'key': '/type/author'},
OL95189A,{'key': '/type/author'},"Swakopmund, Namibia"
OL824133A,{'key': '/type/author'},
OL6787653A,{'key': '/type/author'},
OL755818A,{'key': '/type/author'},
OL78044A,{'key': '/type/author'},
OL6837474A,{'key': '/type/author'},
OL7542A,{'key': '/type/author'},
OL6805612A,{'key': '/type/author'},
OL891A,{'key': '/type/author'},
OL693025A,{'key': '/type/author'},
OL6744914A,{'key': '/type/author'},
OL788637A,{'key': '/type/author'},
OL6764043A,{'key': '/type/author'},
OL6770404A,{'key': '/type/author'},
OL76311A,{'key': '/type/author'},
OL976308A,{'key': '/type/author'},
OL734858A,{'key': '/type/author'},
OL897344A,{'key': '/type/author'},"Lanreath, Cornwall, UK"
OL906693A,{'key': '/type/author'},
OL767343A,{'key': '/type/author'},"Paris, France"
OL851165A,{'key': '/type/author'},
OL89104A,{'key': '/type/author'},
OL9491A,{'key': '/type/author'},
OL6764044A,{'key': '/type/author'},
OL96536A,{'key': '/type/author'},
OL699487A,{'key': '/type/author'},
OL85579A,{'key': '/type/author'},
OL9388A,{'key': '/type/author'},
OL6725661A,{'key': '/type/author'},Thailand
OL916454A,{'key': '/type/author'},"Glastonbury, Somerset, England"
OL6773499A,{'key': '/type/author'},
OL715600A,{'key': '/type/author'},
OL843187A,{'key': '/type/author'},U.S.A.
OL813063A,{'key': '/type/author'},
OL8909A,{'key': '/type/author'},
OL747772A,{'key': '/type/author'},South Africa
OL69521A,{'key': '/type/author'},
OL767133A,{'key': '/type/author'},"Los Angeles, CA"
OL708391A,{'key': '/type/author'},"Tehran, Iran"
OL676188A,{'key': '/type/author'},
OL72455A,{'key': '/type/author'},
OL88812A,{'key': '/type/author'},
OL713582A,{'key': '/type/author'},
OL6744868A,{'key': '/type/author'},
OL6783960A,{'key': '/type/author'},
OL6639447A,{'key': '/type/author'},
OL9526A,{'key': '/type/author'},
OL813099A,{'key': '/type/author'},
OL89244A,{'key': '/type/author'},España
OL735313A,{'key': '/type/author'},
OL67085A,{'key': '/type/author'},
OL6783218A,{'key': '/type/author'},
OL774034A,{'key': '/type/author'},
OL898551A,{'key': '/type/author'},
OL6809325A,{'key': '/type/author'},"New York, NY"
OL802799A,{'key': '/type/author'},
OL6744965A,{'key': '/type/author'},
OL772034A,{'key': '/type/author'},"Meridian Township, IN"
OL812153A,{'key': '/type/author'},
OL746963A,{'key': '/type/author'},
OL75391A,{'key': '/type/author'},
OL828569A,{'key': '/type/author'},
OL89386A,{'key': '/type/author'},
OL956671A,{'key': '/type/author'},
OL725400A,{'key': '/type/author'},
OL678816A,{'key': '/type/author'},"Belgrade, Serbia"
OL7478518A,{'key': '/type/author'},"Norsewood, New Zealand"
OL6784280A,{'key': '/type/author'},
OL896624A,{'key': '/type/author'},Surrey
OL68297A,{'key': '/type/author'},
OL902456A,{'key': '/type/author'},
OL954314A,{'key': '/type/author'},
OL961225A,{'key': '/type/author'},
OL702280A,{'key': '/type/author'},
OL823285A,{'key': '/type/author'},
OL853415A,{'key': '/type/author'},
OL763836A,{'key': '/type/author'},
OL726806A,{'key': '/type/author'},"London, U.K."
OL6770843A,{'key': '/type/redirect'},/authors/OL74447A
OL9348793A,{'key': '/type/author'},
OL995700A,{'key': '/type/author'},
OL6719018A,{'key': '/type/author'},
OL86483A,{'key': '/type/author'},"Savoy, France"
OL6804870A,{'key': '/type/author'},
OL821166A,{'key': '/type/author'},
OL817885A,{'key': '/type/author'},Colombia
OL84412A,{'key': '/type/author'},DKI Jakarta
OL6805786A,{'key': '/type/author'},
OL71851A,{'key': '/type/author'},
OL86543A,{'key': '/type/author'},
OL745928A,{'key': '/type/author'},
OL769457A,{'key': '/type/author'},
OL900776A,{'key': '/type/author'},"Auckland, Aotearoa/New Zealand"
OL700365A,{'key': '/type/author'},"N0.167, 9th F Main, BTM Layout , 1st Stage, Bangalore-560029, India, Ph-91-08041202029, 9845292730"
OL6809536A,{'key': '/type/author'},
OL6804124A,{'key': '/type/author'},
OL961076A,{'key': '/type/author'},
OL6612468A,{'key': '/type/author'},"Belgrade, Serbia"
OL776899A,{'key': '/type/author'},
OL748543A,{'key': '/type/author'},
OL966838A,{'key': '/type/author'},
OL74469A,{'key': '/type/author'},
OL669172A,{'key': '/type/author'},
OL694298A,{'key': '/type/author'},
OL736396A,{'key': '/type/author'},
OL841194A,{'key': '/type/author'},
OL975486A,{'key': '/type/author'},queli importa
OL712383A,{'key': '/type/author'},
OL738028A,{'key': '/type/author'},USA
OL73627A,{'key': '/type/author'},
OL862151A,{'key': '/type/author'},
OL934033A,{'key': '/type/author'},
OL68998A,{'key': '/type/author'},"Hudson Valley, NY"
OL817294A,{'key': '/type/author'},Paradela (Lugo)
OL665329A,{'key': '/type/author'},
OL819521A,{'key': '/type/author'},
OL689566A,{'key': '/type/author'},
OL6804825A,{'key': '/type/redirect'},/authors/OL916588A
OL682877A,{'key': '/type/author'},Mumbai India
OL96979A,{'key': '/type/author'},
OL6808474A,{'key': '/type/author'},"Wilmington, Delaware"
OL709121A,{'key': '/type/author'},
OL80172A,{'key': '/type/author'},
OL80396A,{'key': '/type/author'},D-10117 Berlin Germany
OL980093A,{'key': '/type/author'},
OL990802A,{'key': '/type/author'},
OL6804873A,{'key': '/type/author'},
OL849503A,{'key': '/type/author'},"England, UK"
OL73193A,{'key': '/type/author'},
OL91522A,{'key': '/type/author'},"Paris, France"
OL785143A,{'key': '/type/author'},Germany
OL71477A,{'key': '/type/author'},
OL983786A,{'key': '/type/author'},
OL76437A,{'key': '/type/author'},
OL79039A,{'key': '/type/author'},
OL874506A,{'key': '/type/author'},
OL736164A,{'key': '/type/author'},
OL693561A,{'key': '/type/author'},
OL83579A,{'key': '/type/author'},
OL6804862A,{'key': '/type/author'},
OL699162A,{'key': '/type/author'},alwar
OL740723A,{'key': '/type/author'},
OL77056A,{'key': '/type/author'},
OL798548A,{'key': '/type/author'},
OL736249A,{'key': '/type/author'},
OL901092A,{'key': '/type/author'},
OL68224A,{'key': '/type/author'},
OL897417A,{'key': '/type/author'},
OL89989A,{'key': '/type/author'},
OL916626A,{'key': '/type/author'},
OL928958A,{'key': '/type/author'},
OL910232A,{'key': '/type/author'},
OL933874A,{'key': '/type/author'},
OL866744A,{'key': '/type/author'},
OL909874A,{'key': '/type/author'},
OL723408A,{'key': '/type/author'},
OL8A,{'key': '/type/author'},
OL79880A,{'key': '/type/author'},
OL777032A,{'key': '/type/author'},
OL95189A,{'key': '/type/author'},"Swakopmund, Namibia"
OL824133A,{'key': '/type/author'},
OL755818A,{'key': '/type/author'},
OL78044A,{'key': '/type/author'},
OL6837474A,{'key': '/type/author'},
OL7542A,{'key': '/type/author'},
OL6805612A,{'key': '/type/author'},
OL891A,{'key': '/type/author'},
OL693025A,{'key': '/type/author'},
OL788637A,{'key': '/type/author'},
OL76311A,{'key': '/type/author'},
OL976308A,{'key': '/type/author'},
OL734858A,{'key': '/type/author'},
OL897344A,{'key': '/type/author'},"Lanreath, Cornwall, UK"
OL906693A,{'key': '/type/author'},
OL767343A,{'key': '/type/author'},"Paris, France"
OL851165A,{'key': '/type/author'},
OL89104A,{'key': '/type/author'},
OL9491A,{'key': '/type/author'},
OL96536A,{'key': '/type/author'},
OL699487A,{'key': '/type/author'},
OL85579A,{'key': '/type/author'},
OL9388A,{'key': '/type/author'},
OL916454A,{'key': '/type/author'},"Glastonbury, Somerset, England"
OL715600A,{'key': '/type/author'},
OL843187A,{'key': '/type/author'},U.S.A.
OL813063A,{'key': '/type/author'},
OL8909A,{'key': '/type/author'},
OL747772A,{'key': '/type/author'},South Africa
OL69521A,{'key': '/type/author'},
OL767133A,{'key': '/type/author'},"Los Angeles, CA"
OL708391A,{'key': '/type/author'},"Tehran, Iran"
OL72455A,{'key': '/type/author'},
OL88812A,{'key': '/type/author'},
OL713582A,{'key': '/type/author'},
OL9526A,{'key': '/type/author'},
OL813099A,{'key': '/type/author'},
OL89244A,{'key': '/type/author'},España
OL735313A,{'key': '/type/author'},
OL774034A,{'key': '/type/author'},
OL898551A,{'key': '/type/author'},
OL6809325A,{'key': '/type/author'},"New York, NY"
OL802799A,{'key': '/type/author'},
OL772034A,{'key': '/type/author'},"Meridian Township, IN"
OL812153A,{'key': '/type/author'},
OL746963A,{'key': '/type/author'},
OL75391A,{'key': '/type/author'},
OL828569A,{'key': '/type/author'},
OL89386A,{'key': '/type/author'},
OL956671A,{'key': '/type/author'},
OL725400A,{'key': '/type/author'},
OL7478518A,{'key': '/type/author'},"Norsewood, New Zealand"
OL896624A,{'key': '/type/author'},Surrey
OL68297A,{'key': '/type/author'},
OL902456A,{'key': '/type/author'},
OL954314A,{'key': '/type/author'},
OL961225A,{'key': '/type/author'},
OL702280A,{'key': '/type/author'},
OL823285A,{'key': '/type/author'},
OL853415A,{'key': '/type/author'},
OL763836A,{'key': '/type/author'},
OL726806A,{'key': '/type/author'},"London, U.K."
OL9348793A,{'key': '/type/author'},
OL995700A,{'key': '/type/author'},
OL86483A,{'key': '/type/author'},"Savoy, France"
OL6804870A,{'key': '/type/author'},
OL821166A,{'key': '/type/author'},
OL817885A,{'key': '/type/author'},Colombia
OL84412A,{'key': '/type/author'},DKI Jakarta
OL6805786A,{'key': '/type/author'},
OL71851A,{'key': '/type/author'},
OL86543A,{'key': '/type/author'},
OL745928A,{'key': '/type/author'},
OL769457A,{'key': '/type/author'},
OL900776A,{'key': '/type/author'},"Auckland, Aotearoa/New Zealand"
OL700365A,{'key': '/type/author'},"N0.167, 9th F Main, BTM Layout , 1st Stage, Bangalore-560029, India, Ph-91-08041202029, 9845292730"
OL6809536A,{'key': '/type/author'},
OL961076A,{'key': '/type/author'},
OL776899A,{'key': '/type/author'},
OL748543A,{'key': '/type/author'},
OL966838A,{'key': '/type/author'},
OL74469A,{'key': '/type/author'},
OL694298A,{'key': '/type/author'},
OL736396A,{'key': '/type/author'},
OL841194A,{'key': '/type/author'},
OL975486A,{'key': '/type/author'},queli importa
OL712383A,{'key': '/type/author'},
OL738028A,{'key': '/type/author'},USA
OL73627A,{'key': '/type/author'},
OL862151A,{'key': '/type/author'},
OL934033A,{'key': '/type/author'},
OL68998A,{'key': '/type/author'},"Hudson Valley, NY"
OL817294A,{'key': '/type/author'},Paradela (Lugo)
OL819521A,{'key': '/type/author'},
OL689566A,{'key': '/type/author'},
OL71119A,{'key': '/type/author'},
OL795439A,{'key': '/type/author'},
OL846867A,{'key': '/type/author'},
OL884461A,{'key': '/type/author'},
OL843754A,{'key': '/type/author'},
OL7474A,{'key': '/type/author'},
OL6838259A,{'key': '/type/author'},
OL872749A,{'key': '/type/author'},España
OL789419A,{'key': '/type/author'},
OL792370A,{'key': '/type/author'},Graz
OL842242A,{'key': '/type/author'},
OL857234A,{'key': '/type/author'},
OL79165A,{'key': '/type/author'},
OL785943A,{'key': '/type/author'},Saarlouis
OL870598A,{'key': '/type/author'},
OL994225A,{'key': '/type/author'},
OL6893161A,{'key': '/type/author'},
OL741374A,{'key': '/type/author'},
OL88303A,{'key': '/type/author'},
OL893292A,{'key': '/type/author'},
OL891528A,{'key': '/type/author'},
OL91430A,{'key': '/type/author'},
OL75777A,{'key': '/type/author'},"Santa Cruz, CA"
OL816938A,{'key': '/type/author'},Barcelona
OL692469A,{'key': '/type/author'},
OL753328A,{'key': '/type/author'},
OL730408A,{'key': '/type/author'},
OL954189A,{'key': '/type/author'},
OL88731A,{'key': '/type/author'},
OL849505A,{'key': '/type/author'},
OL6859168A,{'key': '/type/author'},
OL716700A,{'key': '/type/author'},
OL798226A,{'key': '/type/author'},
OL973667A,{'key': '/type/author'},
OL7165A,{'key': '/type/author'},
OL927849A,{'key': '/type/author'},
OL71308A,{'key': '/type/author'},
OL933394A,{'key': '/type/author'},México
OL707888A,{'key': '/type/author'},Rabat
OL85504A,{'key': '/type/author'},
OL6926066A,{'key': '/type/author'},"USA, California, Livermore"
OL870783A,{'key': '/type/author'},
OL922891A,{'key': '/type/author'},
OL6886556A,{'key': '/type/author'},
OL814126A,{'key': '/type/author'},
OL761501A,{'key': '/type/author'},
OL796934A,{'key': '/type/author'},
OL79342A,{'key': '/type/author'},
OL740045A,{'key': '/type/author'},
OL776317A,{'key': '/type/author'},"1801 Bush Street, Suite 118, San Francisco, CA 94109"
OL922677A,{'key': '/type/author'},
OL891917A,{'key': '/type/author'},
OL74464A,{'key': '/type/author'},
